Pass_Number,QBER,Block_Size
0,24.28338623046875,
1,14.792236328125,4
2,5.917805989583334,4
3,2.6475074404761907,8
4,0.5727040816326531,8
5,0.030693229672821506,8
6,0.0,8
7,0.0,8
